,pde,iter,success_rate,run_time,run_time_std,train_loss,train_loss_std,mse,mse_std,mxe,mxe_std,l2rel,l2rel_std,crmse,crmse_std,frmse_low,frmse_low_std,frmse_mid,frmse_mid_std,frmse_high,frmse_high_std
0,Heat2D_VaryingCoef,20000,1.0,1148.2616456,2.2592888076401727,30.11794509887695,2.6860810165179894,0.036347576654067036,0.0082792307410342,1.0556123912334443,0.06209021370151322,0.9558897713462702,0.1062595881123608,0.008034623356177602,0.005191707393952441,2.8608322607842194,1.6099919812864585,0.20598334402652357,0.07222006632968561,0.032592684514365575,0.008185725637095943
1,Heat2D_Multiscale,20000,1.0,1264.8557184000001,2.8914019739528327,0.00010240164410788566,1.9545585042429358e-05,0.0002643034778884612,0.00017909611316042012,0.05639383792877197,0.01545921031165463,0.08778389245271682,0.02821944393817922,0.01274694399908185,0.006157997402091825,1.3070564538625344,1.1250487127574766,7.281887221743789e-05,6.164005341727717e-05,5.5913072982961395e-05,3.5896752091093284e-05
2,Heat2D_ComplexGeometry,20000,1.0,1129.9372772,1.3259355964022583,0.004454506933689118,0.000710074583988236,0.001119319593997392,0.0003101154784507769,0.8889762185746803,0.043715684276907425,0.027177697548479395,0.0036930258516019642,0.011542419324482425,0.00669505683071249,,,,,,
3,Heat2D_LongTime,20000,1.0,1869.2625200000002,4.6826609549249385,0.0009260350547265261,0.0013346746230403562,1.1350597460620526,0.000233619377705037,1.8429545722901821,0.012764704463116918,0.999205080546599,0.00010282958120835442,0.005648433591921206,0.005121552349972132,27.489904953039247,0.5362951395764007,159.43117431317395,0.11848991432888596,0.7719137416949987,0.0001698239157256599
4,HeatND,20000,1.0,2398.5910777999998,2.529082593058788,0.00029921691166237,0.00019658042671064552,0.0002910621871706098,0.0003703549924545183,0.041521453857421876,0.018510556878526544,0.005419648019596934,0.003589667097847939,0.010077970707789064,0.010760861528588473,,,,,,
