,pde,iter,success_rate,run_time,run_time_std,train_loss,train_loss_std,mse,mse_std,mxe,mxe_std,l2rel,l2rel_std,crmse,crmse_std,frmse_low,frmse_low_std,frmse_mid,frmse_mid_std,frmse_high,frmse_high_std
0,Poisson2D_Classic,20000,1.0,339.523981,0.0,0.3181302547454834,0.0,0.08426135778427124,0.0,0.8097332715988159,0.0,0.587917685508728,0.0,0.04087198153138161,0.0,,,,,,
1,PoissonBoltzmann2D,20000,1.0,354.128859,0.0,0.05017488822340965,0.0,0.009391059167683125,0.0,0.33240509033203125,0.0,0.1726679503917694,0.0,0.03498326987028122,0.0,,,,,,
2,Poisson3D_ComplexGeometry,20000,1.0,1889.50489,0.0,0.892817497253418,0.0,0.08600864559412003,0.0,1.178527593612671,0.0,1.01157808303833,0.0,0.11594787985086441,0.0,,,,,,
3,Poisson2D_ManyArea,20000,1.0,377.318487,0.0,0.029307102784514427,0.0,7.894050598144531,0.0,8.485608100891113,0.0,1.0823510885238647,0.0,1.316083550453186,0.0,11745.949440007433,0.0,3.170255329182714,0.0,6.00676574370088,0.0
4,PoissonND,20000,1.0,2880.678475,0.0,2.7269936708762543e-06,0.0,0.00013676070375368,0.0,0.028228759765625,0.0,0.0035261916927993298,0.0,0.0114772729575634,0.0,,,,,,
