,pde,iter,success_rate,run_time,run_time_std,train_loss,train_loss_std,mse,mse_std,mxe,mxe_std,l2rel,l2rel_std,crmse,crmse_std,frmse_low,frmse_low_std,frmse_mid,frmse_mid_std,frmse_high,frmse_high_std
0,Poisson2D_Classic,20000,1.0,338.7976,0.0,0.1423439234495163,0.0,0.07602773606777191,0.0,0.7312102317810059,0.0,0.5584551095962524,0.0,0.016634676605463028,0.0,,,,,,
1,PoissonBoltzmann2D,20000,1.0,357.006591,0.0,0.007073409855365753,0.0,0.0015951532404869795,0.0,0.23278838396072388,0.0,0.07116322964429855,0.0,0.004988718777894974,0.0,,,,,,
2,Poisson3D_ComplexGeometry,20000,1.0,1892.364749,0.0,0.3659484386444092,0.0,0.03563321754336357,0.0,0.7748984098434448,0.0,0.6511122584342957,0.0,0.05669970065355301,0.0,,,,,,
3,Poisson2D_ManyArea,20000,1.0,376.012324,0.0,0.005275697447359562,0.0,7.831518650054932,0.0,8.488544464111328,0.0,1.078055739402771,0.0,0.9441706538200378,0.0,7208.6776147682785,0.0,4.228457594918585,0.0,6.578738409784446,0.0
4,PoissonND,20000,1.0,2881.458846,0.0,5.062017862655921e-06,0.0,0.00014969352923799306,0.0,0.046466827392578125,0.0,0.0036891538184136152,0.0,0.01143340952694416,0.0,,,,,,
