,pde,iter,success_rate,run_time,run_time_std,train_loss,train_loss_std,mse,mse_std,mxe,mxe_std,l2rel,l2rel_std,crmse,crmse_std,frmse_low,frmse_low_std,frmse_mid,frmse_mid_std,frmse_high,frmse_high_std
0,Poisson2D_Classic,20000,1.0,204.581491,0.0,0.9346019625663757,0.0,0.09758152067661285,0.0,0.5000808238983154,0.0,0.6326828598976135,0.0,0.10375293344259262,0.0,,,,,,
1,PoissonBoltzmann2D,20000,1.0,217.024332,0.0,0.0007881867932155728,0.0,0.00019844780035782605,0.0,0.07200062274932861,0.0,0.0251002237200737,0.0,0.0029398472979664803,0.0,,,,,,
2,Poisson3D_ComplexGeometry,20000,1.0,1106.779634,0.0,0.00807912927120924,0.0,0.0007503489032387733,0.0,0.2076745331287384,0.0,0.0944843664765358,0.0,0.005681806709617376,0.0,,,,,,
3,Poisson2D_ManyArea,20000,1.0,232.345735,0.0,0.010474405251443386,0.0,4.819742202758789,0.0,6.153059959411621,0.0,0.8457268476486206,0.0,0.1904490441083908,0.0,3495.828357648045,0.0,18.535050010787327,0.0,3.737452300501953,0.0
4,PoissonND,20000,1.0,1681.927323,0.0,2.586136133686523e-06,0.0,3.851869223581161e-06,0.0,0.003935813903808594,0.0,0.0005917809903621674,0.0,0.0019228908931836486,0.0,,,,,,
